,url_id,url_short_url,url_long_url,url_title,url_description,url_created_date,url_updated_date,visitor_id,url_id_1,visitor_ip,visitor_city,visitor_region,visitor_country,visitor_coords,visitor_isp,visitor_bot,visitor_os,visitor_device,visitor_browser,visitor_machine,visitor_user_agent,visitor_visited_date
0,5,7351b3,https://replit.com/@cwchan0212/hyperiondev-capstone5?embed=true,Capstone Project 5: Bookstore Management System,"Built a bookstore management system that allows a clerk to manage the store's inventory by adding, updating, deleting, and searching for books in the database.",2023-02-04 13:56:06.209532,2023-02-06 00:23:16.167642,1,5,42.64.146.79,Tuniugou,Taipei,Taiwan,"None, None",,False,Android 5.1,Android SDK built for x86 Generic_Android Android SDK built for x86,Crosswalk 15.44.384,Mobile,"Mozilla/5.0 (Linux; Android 5.1; Android SDK built for x86 Build/LKY45) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Crosswalk/15.44.384.6 Mobile Safari/537.36",2022-11-23 21:27:22.000000
1,9,be3c83,https://self-exchange-rate2.cwchan0212.repl.co/,Side Project: Exchange Rate Tracker,"A web application developed using React Hooks to track currency exchange rates, utilizing Exchangerate.host API for data visualization, utilizing React, JavaScript, HTML, and CSS.",2023-02-04 14:31:21.990263,2023-02-06 00:24:31.282589,2,9,42.64.146.79,Tuniugou,Taipei,Taiwan,"None, None",,False,Android 5.1,Android SDK built for x86 Generic_Android Android SDK built for x86,Crosswalk 15.44.384,Mobile,"Mozilla/5.0 (Linux; Android 5.1; Android SDK built for x86 Build/LKY45) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Crosswalk/15.44.384.6 Mobile Safari/537.36",2022-11-23 21:27:39.000000
2,5,7351b3,https://replit.com/@cwchan0212/hyperiondev-capstone5?embed=true,Capstone Project 5: Bookstore Management System,"Built a bookstore management system that allows a clerk to manage the store's inventory by adding, updating, deleting, and searching for books in the database.",2023-02-04 13:56:06.209532,2023-02-06 00:23:16.167642,3,5,42.64.146.79,Tuniugou,Taipei,Taiwan,"None, None",,False,Android 5.1,Android SDK built for x86 Generic_Android Android SDK built for x86,Crosswalk 15.44.384,Mobile,"Mozilla/5.0 (Linux; Android 5.1; Android SDK built for x86 Build/LKY45) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Crosswalk/15.44.384.6 Mobile Safari/537.36",2022-11-23 21:28:57.000000
3,12,bb9eaa,https://github.com/cwchan0212,My GitHub,"It is a place to store my code repositories, collaborate with others on open-source projects, and showcase my portfolio",2023-02-04 18:28:06.102119,2023-02-06 00:30:11.957890,4,12,42.64.146.79,Tuniugou,Taipei,Taiwan,"None, None",,False,Android 5.1,Android SDK built for x86 Generic_Android Android SDK built for x86,Crosswalk 15.44.384,Mobile,"Mozilla/5.0 (Linux; Android 5.1; Android SDK built for x86 Build/LKY45) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Crosswalk/15.44.384.6 Mobile Safari/537.36",2022-11-23 21:29:49.000000
4,2,392aa7,https://replit.com/@cwchan0212/hyperiondev-capstone2?embed=true,Capstone Project 2: Task Manager,"Built a task management tool for small businesses that allows users to log in, register new users, add tasks, and view a list of tasks.",2023-02-02 17:24:33.323112,2023-02-06 00:22:16.185724,5,2,74.32.182.141,Saint Paul,Minnesota,United States,"44.7499, -93.2081",FRONTIER-AND-CITIZENS,False,Windows 7,Other,Chrome 47.0.2500,Desktop,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2500.0 Safari/537.36",2023-01-02 01:05:15.000000
5,10,63b56e,https://self-staff-scheduler.cwchan0212.repl.co/,Side Project: Staff Scheduler,"Adapted from a previous Excel VBA application, a web application using NodeJs, Express, MongoDB that saved supervisor up to 90% of the time spent on report preparation during the pandemic.",2023-02-04 14:31:52.310574,2023-02-06 00:24:49.297269,6,10,74.32.182.141,Saint Paul,Minnesota,United States,"44.7499, -93.2081",FRONTIER-AND-CITIZENS,False,Windows 7,Other,Chrome 47.0.2500,Desktop,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2500.0 Safari/537.36",2023-01-02 01:06:53.000000
6,3,bc9cd6,https://replit.com/@cwchan0212/hyperiondev-capstone3?embed=true,Capstone Project 3: Task Manager (Advanced),Built a task management tool for small businesses to manage tasks assigned to team members. This advanced version includes additional features such as the ability to generate reports and display statistics.,2023-02-02 17:24:56.317357,2023-02-06 00:22:36.937703,7,3,74.32.182.141,Saint Paul,Minnesota,United States,"44.7499, -93.2081",FRONTIER-AND-CITIZENS,False,Windows 7,Other,Chrome 47.0.2500,Desktop,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2500.0 Safari/537.36",2023-01-02 01:07:36.000000
7,6,1842e4,https://replit.com/@cwchan0212/hyperiondev-capstone1-gui?embed=true,Capstone Project 1: Financial Calculator (Advanced),"A GUI calculator adapted from a previous capstone project, developed using Python Tkinter that includes an Investment calculator and a Home loan repayment calculator, utilizing Python, Tkinter and command line interface.",2023-02-04 14:12:53.955382,2023-02-06 00:23:33.422084,8,6,74.32.182.141,Saint Paul,Minnesota,United States,"44.7499, -93.2081",FRONTIER-AND-CITIZENS,False,Windows 7,Other,Chrome 47.0.2500,Desktop,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2500.0 Safari/537.36",2023-01-02 01:08:44.000000
8,2,392aa7,https://replit.com/@cwchan0212/hyperiondev-capstone2?embed=true,Capstone Project 2: Task Manager,"Built a task management tool for small businesses that allows users to log in, register new users, add tasks, and view a list of tasks.",2023-02-02 17:24:33.323112,2023-02-06 00:22:16.185724,9,2,82.122.179.2,Laval-du-Tarn,Occitanie,France,"44.3546, 3.346",Orange,False,Mac OS X 10.7.5,Mac Apple Mac,Safari 6.0.3,Desktop,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/536.28.10 (KHTML, like Gecko) Version/6.0.3 Safari/536.28.10",2023-01-14 12:13:33.000000
9,14,d60640,https://cwchan0212.github.io/,My Personal Portfolio Page,It is a place to showcase my projects.,2023-02-04 18:27:28.630099,2023-02-06 00:34:06.417943,10,14,82.122.179.2,Laval-du-Tarn,Occitanie,France,"44.3546, 3.346",Orange,False,Mac OS X 10.7.5,Mac Apple Mac,Safari 6.0.3,Desktop,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/536.28.10 (KHTML, like Gecko) Version/6.0.3 Safari/536.28.10",2023-01-14 12:14:56.000000
